name,QA,id,image_url,description,enabled,personalized,sql_request
US Food stocks,1,176,https://gainy-collections-production.s3.amazonaws.com/us%20food%20stocks.png,Food compnies in the USA,1,0,"where (ct.ttype ilike 'common stock' AND (ct.country_name ilike '%united states%' OR ct.country_name ilike '%usa%')) AND (ct.g_industry ilike any(array['Bread & Condiments', 'Restaurants', 'Dairy', 'Fruits & Vegetables', 'Meat & Poultry', 'Snacks & Candy', 'Soft/Sports Drink']))"
USA Technology stocks,1,177,https://gainy-collections-production.s3.amazonaws.com/usa%20technology%20stocks.png,Tech companies in the USA,1,0,where (ct.ttype ilike 'common stock' AND ct.gics_sector ilike '%technolog%' AND (ct.country_name ilike '%united states%' OR ct.country_name ilike '%usa%'))
Utilities ETFs,2,178,https://gainy-collections-production.s3.amazonaws.com/Utilities%20ETFs.png,,0,0,
Utilities,1,179,https://gainy-collections-production.s3.amazonaws.com/Utilities%20stocks.png,Electricity and waste management companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Cleaning & Decontamination', 'Electricity Generation', 'Electronics Power Management', 'Lighting Systems', 'Waste Management', 'Water Management']))"
Utility stocks,1,180,https://gainy-collections-production.s3.amazonaws.com/Utility%20stocks.png,,0,0,
Vanguard Biotech ETFs,1,181,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20Biotech%20ETFs.png,,0,0,
Vanguard Bond ETFs,2,182,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20Bond%20ETFs.png,,0,0,
Vanguard bond index funds,2,183,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20bond%20index%20funds.png,,0,0,
Vanguard Dividend ETF,1,184,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20Dividend%20ETF.png,,0,0,
Vanguard Energy ETFs,1,185,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20Energy%20ETFs.png,,0,0,
Vanguard ETFs,1,186,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20ETFs.png,,0,0,
Vanguard mid cap ETFs,1,187,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20mid%20cap%20ETFs.png,,0,0,
Vanguard NASDAQ ETFs,1,188,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20NASDAQ%20ETFs.png,,0,0,
Vanguard oil ETF,1,189,https://gainy-collections-production.s3.amazonaws.com/Vanguard%20oil%20etf.png,Vanguard Energy ETF (VDE),0,0,where (ct.ttype ilike 'ETF' AND ct.ticker_code IN ('VDE'))
Vulcan materials stocks,1,190,https://gainy-collections-production.s3.amazonaws.com/Vulcan%20materials%20stocks.png,,0,0,where (ct.ttype ilike 'common stock' AND ct.ticker_code ='VMC')
Waste management stocks,1,191,https://gainy-collections-production.s3.amazonaws.com/Waste%20management%20stocks.png,Waste management companies,1,0,"where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Waste Management', 'Cleaning & Decontamination']))"
Water companies stocks,1,192,https://gainy-collections-production.s3.amazonaws.com/Water%20companies%20stocks.png,Water management companies,1,0,where (ct.ttype ilike 'common stock') AND (ct.g_industry ilike any(array['Water Management']))
