date,ttf_name,symbol,weight
2016-10-01,"Movies, Music and Entertainment",AMC,0.073088242
2016-11-01,"Movies, Music and Entertainment",AMC,0.073538192
2016-12-01,"Movies, Music and Entertainment",AMC,0.074429085
2017-01-01,"Movies, Music and Entertainment",AMC,0.079477657
2017-02-01,"Movies, Music and Entertainment",AMC,0.075080018
2017-03-01,"Movies, Music and Entertainment",AMC,0.078057773
2017-04-01,"Movies, Music and Entertainment",AMC,0.078884968
2017-05-01,"Movies, Music and Entertainment",AMC,0.077382191
2017-06-01,"Movies, Music and Entertainment",AMC,0.071481186
2017-07-01,"Movies, Music and Entertainment",AMC,0.057701105
2017-08-01,"Movies, Music and Entertainment",AMC,0.055102903
2017-09-01,"Movies, Music and Entertainment",AMC,0.047287618
2017-10-01,"Movies, Music and Entertainment",AMC,0.040789148
2017-11-01,"Movies, Music and Entertainment",AMC,0.037831554
2017-12-01,"Movies, Music and Entertainment",AMC,0.038454489
2018-01-01,"Movies, Music and Entertainment",AMC,0.035714622
2018-02-01,"Movies, Music and Entertainment",AMC,0.038866044
2018-03-01,"Movies, Music and Entertainment",AMC,0.047886006
2018-04-01,"Movies, Music and Entertainment",AMC,0.047479702
2018-05-01,"Movies, Music and Entertainment",AMC,0.05137889
2018-06-01,"Movies, Music and Entertainment",AMC,0.060600341
2018-07-01,"Movies, Music and Entertainment",AMC,0.062367508
2018-08-01,"Movies, Music and Entertainment",AMC,0.063091176
2018-09-01,"Movies, Music and Entertainment",AMC,0.070923137
2018-10-01,"Movies, Music and Entertainment",AMC,0.076359209
2018-11-01,"Movies, Music and Entertainment",AMC,0.068040667
2018-12-01,"Movies, Music and Entertainment",AMC,0.055512744
2019-01-01,"Movies, Music and Entertainment",AMC,0.057295589
2019-02-01,"Movies, Music and Entertainment",AMC,0.052012323
2019-03-01,"Movies, Music and Entertainment",AMC,0.052103038
2019-04-01,"Movies, Music and Entertainment",AMC,0.049515488
2019-05-01,"Movies, Music and Entertainment",AMC,0.048106297
2019-06-01,"Movies, Music and Entertainment",AMC,0.048501748
2019-07-01,"Movies, Music and Entertainment",AMC,0.048771016
2019-08-01,"Movies, Music and Entertainment",AMC,0.050390114
2019-09-01,"Movies, Music and Entertainment",AMC,0.050920997
2019-10-01,"Movies, Music and Entertainment",AMC,0.042071482
2019-11-01,"Movies, Music and Entertainment",AMC,0.044407711
2019-12-01,"Movies, Music and Entertainment",AMC,0.044023189
2020-01-01,"Movies, Music and Entertainment",AMC,0.04955755
2020-02-01,"Movies, Music and Entertainment",AMC,0.04515381
2020-03-01,"Movies, Music and Entertainment",AMC,0.043344914
2020-04-01,"Movies, Music and Entertainment",AMC,0.040384401
2020-05-01,"Movies, Music and Entertainment",AMC,0.036078259
2020-06-01,"Movies, Music and Entertainment",AMC,0.0352694
2020-07-01,"Movies, Music and Entertainment",AMC,0.03424267
2020-08-01,"Movies, Music and Entertainment",AMC,0.033868208
2020-09-01,"Movies, Music and Entertainment",AMC,0.033552954
2020-10-01,"Movies, Music and Entertainment",AMC,0.033430977
2020-11-01,"Movies, Music and Entertainment",AMC,0.033429001
2020-12-01,"Movies, Music and Entertainment",AMC,0.030140318
2021-01-01,"Movies, Music and Entertainment",AMC,0.027525805
2021-02-01,"Movies, Music and Entertainment",AMC,0.010470392
2021-03-01,"Movies, Music and Entertainment",AMC,0.01
2021-04-01,"Movies, Music and Entertainment",AMC,0.01
2021-05-01,"Movies, Music and Entertainment",AMC,0.01
2021-06-01,"Movies, Music and Entertainment",AMC,0.01
2021-07-01,"Movies, Music and Entertainment",AMC,0.01
2021-08-01,"Movies, Music and Entertainment",AMC,0.01070257
2021-09-01,"Movies, Music and Entertainment",AMC,0.01
2021-10-01,"Movies, Music and Entertainment",AMC,0.01
2021-11-01,"Movies, Music and Entertainment",AMC,0.01874192
2021-12-01,"Movies, Music and Entertainment",AMC,0.022553015
2022-01-01,"Movies, Music and Entertainment",AMC,0.021217015
2022-02-01,"Movies, Music and Entertainment",AMC,0.018380596
2022-03-01,"Movies, Music and Entertainment",AMC,0.019788961
2022-04-01,"Movies, Music and Entertainment",AMC,0.016265104
2022-05-01,"Movies, Music and Entertainment",AMC,0.021950674
2022-06-01,"Movies, Music and Entertainment",AMC,0.023136932
2022-07-01,"Movies, Music and Entertainment",AMC,0.023591297
2022-08-01,"Movies, Music and Entertainment",AMC,0.024346767
2022-09-01,"Movies, Music and Entertainment",AMC,0.023595931
2022-10-01,"Movies, Music and Entertainment",AMC,0.023987851
2015-02-01,"Movies, Music and Entertainment",IMAX,0.108533229
2015-03-01,"Movies, Music and Entertainment",IMAX,0.087801575
2015-04-01,"Movies, Music and Entertainment",IMAX,0.090439165
2015-05-01,"Movies, Music and Entertainment",IMAX,0.095931794
2015-06-01,"Movies, Music and Entertainment",IMAX,0.092478848
2015-07-01,"Movies, Music and Entertainment",IMAX,0.091620839
2015-08-01,"Movies, Music and Entertainment",IMAX,0.098447037
2015-09-01,"Movies, Music and Entertainment",IMAX,0.109369157
2015-10-01,"Movies, Music and Entertainment",IMAX,0.106917529
2015-11-01,"Movies, Music and Entertainment",IMAX,0.107841172
2015-12-01,"Movies, Music and Entertainment",IMAX,0.112522386
